[03:31:16.730] Saved model at iteration 0
[03:35:33.357] Saved model at iteration 0
[03:36:57.426] Saved model at iteration 0
[03:44:18.784] Saved model at iteration 0
[03:45:57.340] Saved model at iteration 0
[03:55:07.109] 234,3.259202,-0.317372,0.044858,3.237745,2.939709
[03:55:08.234] 235,3.258072,-0.315007,0.044357,3.235873,2.928477
[03:55:09.355] 236,3.228078,-0.341797,0.043217,3.234109,2.925493
[03:55:10.486] 237,3.248558,-0.308269,0.044008,3.223096,2.897234
[03:55:11.615] 238,3.224926,-0.326072,0.044892,3.215109,2.909968
[03:55:12.735] 239,3.212912,-0.337680,0.043958,3.213920,2.927141
[03:55:13.859] 240,3.245850,-0.300961,0.044932,3.213886,2.879920
[03:55:14.986] 241,3.223934,-0.318537,0.044059,3.210438,2.879730
[03:55:16.112] 242,3.250539,-0.292952,0.047718,3.208463,2.873096
[03:55:17.235] 243,3.265418,-0.279195,0.049693,3.209415,2.855053
[03:55:18.359] 244,3.207932,-0.331764,0.047904,3.201002,2.907888
[03:55:19.485] 245,3.198533,-0.331645,0.043217,3.196287,2.906735
[03:55:20.612] 246,3.195751,-0.333296,0.041849,3.199002,2.881957
[03:55:21.735] 247,3.201018,-0.319708,0.041630,3.191532,2.875646
[03:55:22.862] 248,3.260602,-0.254820,0.043160,3.191613,2.806489
[03:55:23.991] 249,3.182573,-0.330055,0.041212,3.183050,2.883660
[03:55:25.121] 250,3.180758,-0.330547,0.045126,3.180600,2.855796
[03:55:26.248] 251,3.227413,-0.291402,0.049631,3.188383,2.808007
[03:55:27.373] 252,3.189870,-0.322864,0.047417,3.177090,2.882284
[03:55:28.501] 253,3.206499,-0.301338,0.047707,3.177361,2.827698
[03:55:29.626] 254,3.158075,-0.339950,0.044672,3.165047,2.883059
[03:55:30.747] 255,3.222860,-0.283097,0.049381,3.178254,2.783217
[03:55:31.874] 256,3.166285,-0.326391,0.043685,3.162271,2.867197
[03:55:33.002] 257,3.159078,-0.326318,0.043133,3.157530,2.847332
[03:55:34.126] 258,3.138334,-0.341652,0.042544,3.150212,2.872293
[03:55:35.247] 259,3.156670,-0.327589,0.044917,3.156513,2.828295
[03:55:36.373] 260,3.140923,-0.335074,0.043697,3.146987,2.853129
[03:55:37.501] 261,3.183336,-0.290037,0.046393,3.147380,2.796000
[03:55:38.628] 262,3.139417,-0.339663,0.043998,3.151497,2.835855
[03:55:39.750] 263,3.176640,-0.300548,0.046783,3.149546,2.808592
[03:55:40.875] 264,3.142475,-0.326295,0.044562,3.140202,2.840057
[03:55:42.000] 265,3.179384,-0.288262,0.048510,3.143500,2.756354
[03:55:43.125] 266,3.132370,-0.326558,0.045334,3.130298,2.832961
[03:55:44.249] 267,3.113014,-0.339358,0.042839,3.124885,2.846480
[03:55:45.375] 268,3.121472,-0.331367,0.044291,3.127932,2.806171
[03:55:46.504] 269,3.123348,-0.329432,0.045364,3.124803,2.826119
[03:55:47.628] 270,3.164364,-0.290404,0.048835,3.131675,2.742584
[03:55:48.756] 271,3.108215,-0.333083,0.044240,3.114887,2.821711
